EXEC,VER,GENRE,TITLE,IMG,BPM,LEN,NOTES,SOFLAN
0,[16],トイコンテンポラリー(EX),シュレーディンガーの猫,toy_contemporary_ex_,187,1:49,1748,
1,[17],サイレント(EX),音楽,silent_ex_,210～360,2:13,1530,245_280_245_230_240_260_280_270_280_270_240_210_260_280_290_310_330_340_350_360
1,[20],ダージュ(EX),ピアノ協奏曲第1番 “蠍火”,,165～188,2:08,1515,
1,[20],ムラクモ(EX),少年は空を辿る,,140,2:03,1780,
1,[SP],エンジェリオン(EX),生命の環を紡いで,,105～172,2:17,1769,
1,[LT],L-an!ma(EX),L-an!ma,,104～209,2:13,1827,
1,[うさ],辿る君を超えて(EX),辿る君を超えて,,40～160,2:07,1828,
1,[うさ],Chaos:Q(EX),Chaos:Q,,100～402,2:10,1741,
1,[うさ],НУМЛ(EX),НУМЛ,,158～200,2:31,1745,
1,[うさ],o†o(EX),o†o,,202,2:01,1947,
1,[pe],カウボーイ(UPPER)(EX),Blue River,,134,1:59,1680,
1,[pe],コアダストビート(UPPER)(EX),真超深TION,,177,1:56,1800,
1,[pe],ふること(UPPER)(EX),序,,175〜195,2:11,1836,
1,[pe],25 o’clock the WORLD(EX),25 o’clock the WORLD,,52～210,2:01,1789,
1,[pe],BabeL 〜MODEL DD101～(EX),BabeL 〜MODEL DD101～,,180,1:53,1705,
1,[pe],perditus†paradisus(UPPER)(EX),perditus†paradisus,,172,2:05,1762,
1,[pe],Popperz Chronicle(EX),Popperz Chronicle,,62〜210,2:14,1630,
1,[pe],Popperz Chronicle(UPPER)(EX),Popperz Chronicle,,62〜402,2:14,1735,
1,[解],インボルク(UPPER)(EX),生命の焔纏いて,,184,2:00,1769,
1,[解],ΔΟΓΜΑ(EX),ΔΟΓΜΑ,,145～190,2:09,1882,
1,[解],virkatoの主題によるperson09風超絶技巧変奏曲(UPPER)(EX),virkatoの主題によるperson09風超絶技巧変奏曲,,95～180,2:19,1900,
1,[UL],F/S(EX),F/S,,200,2:06,1939,
1,[UL],ma plume(UPPER)(EX),ma plume,,165,2:06,1943,
1,[UL],Mecha Kawa Breaker!!(EX),Mecha Kawa Breaker!!,,214,2:02,1682,
1,[UL],Megalara Garuda(UPPER)(EX),Megalara Garuda,,90～180,2:00,1721,
1,[JF],THX 4(EX),THX 4,,150,2:07,1912,
